City_ID,City,Country,Max Temp,Current Description,Lat,Lng,Hotel Name
1,Porto Velho,BR,80.654,broken clouds,-8.7619,-63.9039,Ecos Hotel Conforto
4,Itarema,BR,84.632,scattered clouds,-2.9248,-39.9167,"Sea Lounge! Bar, Club & Restaurant"
5,Kikwit,CD,86.99,broken clouds,-5.041,18.8162,HOTEL PLACE YALABA
7,Hithadhoo,MV,84.65,clear sky,-0.6,73.0833,Scoop Guest House
14,Bambous Virieux,MU,79.052,broken clouds,-20.3428,57.7575,Casa Tia Villa
15,Adrar,MR,89.6,broken clouds,20.5022,-10.0711,
20,Georgetown,MY,85.946,few clouds,5.4112,100.3354,Cititel Penang
21,Port Alfred,ZA,83.174,broken clouds,-33.5906,26.891,The Halyards Hotel
22,Souillac,MU,79.178,broken clouds,-20.5167,57.5167,Shanti Maurice Resort & Spa
27,Jalu,LY,86.702,broken clouds,29.0331,21.5482,صاحبة الفخامة
30,Mahebourg,MU,79.088,broken clouds,-20.4081,57.7,Shandrani Beachcomber Resort & Spa
31,Chaman,PK,75.218,scattered clouds,30.9236,66.4512,Niamat parda Center chaman
33,Bathsheba,BB,84.812,scattered clouds,13.2167,-59.5167,Atlantis Hotel
35,Nueva Loja,EC,75.218,broken clouds,0.0847,-76.8828,Limoncocha Great Hotel
36,Saint-Philippe,RE,80.186,light rain,-21.3585,55.7679,"Chambres d'hôte ""La Trinité"""
37,Mitsamiouli,KM,82.94,light rain,-11.3847,43.2844,Foyer ADM
40,Xique-Xique,BR,86.198,few clouds,-10.8218,-42.7263,Hotel J. Macedo
48,Santo Tomas,PH,82.652,clear sky,14.1079,121.1414,Microtel by Wyndham Batangas
49,Mamallapuram,IN,86.054,scattered clouds,12.6264,80.1722,Radisson Blu Resort Temple Bay Mamallapuram
50,Bengkulu,ID,78.476,overcast clouds,-3.8004,102.2655,Grage Hotel Bengkulu
53,Chakulia,IN,80.294,broken clouds,22.4833,86.7167,BKD
56,Dehloran,IR,89.96,broken clouds,32.6941,47.2679,کافه گیم استورم
58,Cravo Norte,CO,85.334,overcast clouds,6.3017,-70.2041,Hotel Potosí Los Mirtos
59,Saint-Leu,RE,79.664,light rain,-21.15,55.2833,La Caz Oceane
60,Inongo,CD,77.864,light rain,-1.95,18.2667,Hotel Du Lac
62,Saint-Joseph,RE,79.178,light rain,-21.3667,55.6167,"""Plantation Bed and Breakfast"
67,Diu,IN,82.868,clear sky,20.7141,70.9822,Hotel Relax Inn
68,Touros,BR,87.008,broken clouds,-5.1989,-35.4608,INN NEW HORIZON
75,Luba,GQ,82.796,light rain,3.4568,8.5547,
78,Harper,LR,81.842,light rain,4.375,-7.7169,Screensaver
79,East London,ZA,85.136,clear sky,-33.0153,27.9116,Tu Casa
82,Victoria,HK,76.172,scattered clouds,22.2855,114.1577,Mini Hotel Central
86,Cayenne,GF,80.096,moderate rain,4.9333,-52.3333,Hôtel Le Dronmi
87,Upata,VE,86.27,overcast clouds,8.0086,-62.3989,Posada Villa Nela
89,Eyl,SO,84.128,broken clouds,7.9803,49.8164,Amiin Hotel
93,Sakakah,SA,87.368,clear sky,29.9697,40.2064,Fakhamat Al Orjoana Apartment
101,Iquitos,PE,78.836,broken clouds,-3.7481,-73.2472,Cortez Malaga Techy Caroly
102,Contamana,PE,80.24,overcast clouds,-7.3333,-75.0167,Shiringal Touristic Park
105,Arraial Do Cabo,BR,78.764,scattered clouds,-22.9661,-42.0278,Pousada Porto Praia
107,Port Elizabeth,ZA,76.1,clear sky,-33.918,25.5701,39 On Nile Guest House
108,Amapa,BR,77.558,overcast clouds,1.0,-52.0,
