City_ID,City,Country,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Current Description
0,Dikson,RU,73.5069,80.5464,7.232,94,100,6.63,overcast clouds
1,Porto Velho,BR,-8.7619,-63.9039,80.654,83,75,2.06,broken clouds
2,Cap-Aux-Meules,CA,47.3821,-61.8597,41.054,60,20,5.66,few clouds
3,Channel-Port Aux Basques,CA,47.5702,-59.1367,34.862,71,8,10.27,clear sky
4,Itarema,BR,-2.9248,-39.9167,84.632,70,32,5.52,scattered clouds
5,Kikwit,CD,-5.041,18.8162,86.99,54,69,0.68,broken clouds
6,Kayes,ML,14,-11,104.594,8,6,2.02,clear sky
7,Hithadhoo,MV,-0.6,73.0833,84.65,65,9,3.23,clear sky
8,Vangaindrano,MG,-23.35,47.6,74.858,90,100,3.65,moderate rain
9,Nuuk,GL,64.1835,-51.7216,38.012,75,100,14.4,overcast clouds
10,Longyearbyen,SJ,78.2186,15.6401,31.838,74,75,4.63,broken clouds
11,Busselton,AU,-33.65,115.3333,61.466,58,0,7.72,clear sky
12,Hermanus,ZA,-34.4187,19.2345,66.794,79,1,3.55,clear sky
13,Qaanaaq,GL,77.484,-69.3632,-3.982,76,0,1.16,clear sky
14,Bambous Virieux,MU,-20.3428,57.7575,79.052,78,75,3.09,broken clouds
15,Adrar,MR,20.5022,-10.0711,89.6,10,74,6.97,broken clouds
16,Upernavik,GL,72.7868,-56.1549,8.672,66,100,4.49,overcast clouds
17,Ilulissat,GL,69.2167,-51.1,30.218,74,100,6.69,overcast clouds
18,Ushuaia,AR,-54.8,-68.3,42.458,70,75,6.17,broken clouds
19,Karlstad,SE,59.3793,13.5036,64.958,32,0,5.66,clear sky
20,Georgetown,MY,5.4112,100.3354,85.946,83,20,2.06,few clouds
21,Port Alfred,ZA,-33.5906,26.891,83.174,44,78,1.79,broken clouds
22,Souillac,MU,-20.5167,57.5167,79.178,78,75,3.09,broken clouds
23,Ponta Do Sol,PT,32.6667,-17.1,66.128,61,91,2.89,overcast clouds
24,Kyrylivka,UA,46.3759,35.3675,42.836,87,100,3.75,overcast clouds
25,Bredasdorp,ZA,-34.5322,20.0403,70.286,60,1,6.2,clear sky
26,Abay,KZ,49.6311,72.8539,52.178,65,97,7.67,overcast clouds
27,Jalu,LY,29.0331,21.5482,86.702,11,75,5.42,broken clouds
28,Kruisfontein,ZA,-34.0033,24.7314,73.886,52,0,5.2,clear sky
29,Maniitsoq,GL,65.4167,-52.9,31.946,93,100,17.36,snow
30,Mahebourg,MU,-20.4081,57.7,79.088,78,75,3.09,broken clouds
31,Chaman,PK,30.9236,66.4512,75.218,14,34,6.18,scattered clouds
32,Izhma,RU,65.0083,53.9113,28.346,71,100,3.15,overcast clouds
33,Bathsheba,BB,13.2167,-59.5167,84.812,61,40,10.8,scattered clouds
34,Glowno,PL,51.9646,19.7157,50.648,79,100,2.61,overcast clouds
35,Nueva Loja,EC,0.0847,-76.8828,75.218,88,75,2.06,broken clouds
36,Saint-Philippe,RE,-21.3585,55.7679,80.186,88,55,4.86,light rain
37,Mitsamiouli,KM,-11.3847,43.2844,82.94,79,100,7.42,light rain
38,Puerto Del Rosario,ES,28.5004,-13.8627,71.348,56,40,9.77,scattered clouds
39,Antofagasta,CL,-23.65,-70.4,61.88,73,56,2.81,broken clouds
40,Xique-Xique,BR,-10.8218,-42.7263,86.198,50,18,3.87,few clouds
41,Marsa Matruh,EG,31.3525,27.2453,63.878,52,92,5.52,overcast clouds
42,Saldanha,ZA,-33.0117,17.9442,69.854,84,53,6.25,broken clouds
43,Clyde River,CA,70.4692,-68.5914,1.634,78,100,7.72,mist
44,Mar Del Plata,AR,-38.0023,-57.5575,59.018,84,40,5.14,scattered clouds
45,Knysna,ZA,-34.0363,23.0471,70.538,72,0,2.34,clear sky
46,Saint-Augustin,CA,51.226,-58.6502,32.27,78,6,5.88,clear sky
47,Mehamn,NO,71.0357,27.8492,40.28,89,73,9.09,light rain
48,Santo Tomas,PH,14.1079,121.1414,82.652,90,8,2.36,clear sky
49,Mamallapuram,IN,12.6264,80.1722,86.054,76,32,6.29,scattered clouds
50,Bengkulu,ID,-3.8004,102.2655,78.476,87,100,1.83,overcast clouds
51,Sotnikovskoye,RU,45.0039,43.7772,62.366,43,82,3.89,broken clouds
52,Arcachon,FR,44.5875,-1.0519,62.924,82,100,4.12,overcast clouds
53,Chakulia,IN,22.4833,86.7167,80.294,64,63,8.48,broken clouds
54,Kommunar,RU,59.6206,30.39,53.132,51,7,5.24,clear sky
55,Pinega,RU,64.7001,43.3936,37.85,63,9,1.5,clear sky
56,Dehloran,IR,32.6941,47.2679,89.96,12,54,3.36,broken clouds
57,Codrington,AU,-38.2667,141.9667,55.832,58,100,4.48,overcast clouds
58,Cravo Norte,CO,6.3017,-70.2041,85.334,61,90,1.88,overcast clouds
59,Saint-Leu,RE,-21.15,55.2833,79.664,85,28,5.31,light rain
60,Inongo,CD,-1.95,18.2667,77.864,78,94,1.12,light rain
61,Ornes,NO,66.8689,13.7078,44.204,79,51,1.9,broken clouds
62,Saint-Joseph,RE,-21.3667,55.6167,79.178,86,38,5.45,light rain
