City_ID,City,Country,Date,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed
0,Upernavik,GL,2022-04-20 18:52:50,72.7868,-56.1549,2.84,69,16,5.28
1,Fortuna,US,2022-04-20 18:49:51,40.5982,-124.1573,54.66,91,75,18.41
2,Georgetown,MY,2022-04-20 18:50:13,5.4112,100.3354,79.95,94,20,3.44
3,Puerto Ayora,EC,2022-04-20 18:52:51,-0.7393,-90.3518,78.76,80,100,8.84
4,Punta Arenas,CL,2022-04-20 18:52:51,-53.15,-70.9167,53.62,66,75,18.41
5,Norman Wells,CA,2022-04-20 18:52:52,65.282,-126.8329,24.84,42,0,2.3
6,Carnarvon,AU,2022-04-20 18:52:52,-24.8667,113.6333,66.27,59,100,5.75
7,Paamiut,GL,2022-04-20 18:52:52,61.994,-49.6678,25.74,53,100,6.17
8,Cherskiy,RU,2022-04-20 18:52:53,68.75,161.3,9.28,90,100,4.07
9,Cognac,FR,2022-04-20 18:52:53,45.5,-0.25,56.8,82,82,2.3
10,Hambantota,LK,2022-04-20 18:52:53,6.1241,81.1185,80.94,100,40,1.14
11,Isangel,VU,2022-04-20 18:52:54,-19.55,169.2667,71.71,88,46,3.44
12,Kapaa,US,2022-04-20 18:52:54,22.0752,-159.319,75.47,77,75,17.27
13,Vestmannaeyjar,IS,2022-04-20 18:52:54,63.4427,-20.2734,45.59,93,75,13.8
14,Belle Fourche,US,2022-04-20 18:52:54,44.6714,-103.8522,59.09,30,48,17.11
15,Atuona,PF,2022-04-20 18:52:55,-9.8,-139.0333,79.36,70,68,20.2
16,Namatanai,PG,2022-04-20 18:52:55,-3.6667,152.4333,79.63,82,93,8.37
17,Bandarbeyla,SO,2022-04-20 18:52:55,9.4942,50.8122,81.5,70,5,8.61
18,Nuevo Progreso,MX,2022-04-20 18:52:56,23.1667,-97.95,81.46,68,77,4.0
19,Vaini,TO,2022-04-20 18:52:56,-21.2,-175.2,73.56,100,100,3.44
20,Merrill,US,2022-04-20 18:52:56,45.1805,-89.6835,47.97,60,100,13.8
21,Kodiak,US,2022-04-20 18:52:57,57.79,-152.4072,40.51,75,0,4.61
22,Havoysund,NO,2022-04-20 18:52:57,70.9963,24.6622,41.23,93,12,9.84
23,Hermanus,ZA,2022-04-20 18:52:57,-34.4187,19.2345,59.81,81,100,2.86
24,Codrington,AU,2022-04-20 18:52:58,-38.2667,141.9667,56.37,76,99,7.61
25,Hobart,AU,2022-04-20 18:52:58,-42.8794,147.3294,49.86,71,6,1.14
26,Ushuaia,AR,2022-04-20 18:52:58,-54.8,-68.3,49.66,57,75,12.66
27,Honningsvag,NO,2022-04-20 18:52:59,70.9821,25.9704,40.75,81,90,0.0
28,Pisco,PE,2022-04-20 18:52:59,-13.7,-76.2167,75.25,64,0,18.41
29,Yangjiang,CN,2022-04-20 18:52:59,21.85,111.9667,68.94,93,36,2.53
30,Ler,SS,2022-04-20 18:53:00,8.3018,30.1418,86.74,49,39,1.12
31,Sao Filipe,CV,2022-04-20 18:53:00,14.8961,-24.4956,73.47,77,100,8.97
32,Amberley,US,2022-04-20 18:53:00,39.2048,-84.428,62.55,40,20,8.05
33,Barrow,US,2022-04-20 18:53:00,71.2906,-156.7887,-0.38,78,0,12.66
34,Tuktoyaktuk,CA,2022-04-20 18:53:01,69.4541,-133.0374,3.2,85,75,4.61
35,Iqaluit,CA,2022-04-20 18:53:01,63.7506,-68.5145,19.13,67,75,8.05
36,Aklavik,CA,2022-04-20 18:53:01,68.2191,-135.0107,12.2,92,20,4.61
37,Nemuro,JP,2022-04-20 18:53:02,43.3236,145.575,40.23,91,0,20.15
38,Bluff,NZ,2022-04-20 18:53:02,-46.6,168.3333,56.8,95,100,3.02
39,Mar Del Plata,AR,2022-04-20 18:53:03,-38.0023,-57.5575,64.42,94,40,8.05
40,Bengkulu,ID,2022-04-20 18:53:03,-3.8004,102.2655,75.76,91,100,8.34
41,Albany,US,2022-04-20 18:50:20,42.6001,-73.9662,51.58,42,7,1.99
42,Kassala,SD,2022-04-20 18:53:03,15.451,36.4,91.85,39,22,15.64
43,Nanortalik,GL,2022-04-20 18:53:04,60.1432,-45.2371,30.96,60,77,12.1
44,Russell,US,2022-04-20 18:53:04,32.3502,-85.1999,75.11,29,0,12.66
45,Mataura,NZ,2022-04-20 18:54:05,-46.1927,168.8643,56.48,100,100,2.82
46,Busselton,AU,2022-04-20 18:54:05,-33.65,115.3333,54.75,86,0,12.01
47,Mbanza-Ngungu,CD,2022-04-20 18:54:05,-5.25,14.8667,70.45,96,100,2.73
48,Chokurdakh,RU,2022-04-20 18:54:06,70.6333,147.9167,2.62,99,93,4.07
49,Meulaboh,ID,2022-04-20 18:54:06,4.1363,96.1285,78.24,87,100,5.46
50,Bredasdorp,ZA,2022-04-20 18:54:07,-34.5322,20.0403,66.38,53,100,4.52
51,Longyearbyen,SJ,2022-04-20 18:54:07,78.2186,15.6401,21.69,87,100,8.9
52,Tual,ID,2022-04-20 18:54:07,-5.6667,132.75,83.21,75,100,5.77
53,Half Moon Bay,US,2022-04-20 18:54:08,37.4636,-122.4286,70.21,55,0,12.66
54,Honiara,SB,2022-04-20 18:50:46,-9.4333,159.95,77.5,87,77,4.47
55,Fairbanks,US,2022-04-20 18:54:08,64.8378,-147.7164,39.92,41,12,1.01
56,Butaritari,KI,2022-04-20 18:54:09,3.0707,172.7902,80.78,81,92,15.12
57,Cabo San Lucas,MX,2022-04-20 18:50:24,22.8909,-109.9124,79.05,69,0,5.01
58,Hof,DE,2022-04-20 18:54:09,50.3167,11.9167,44.74,80,100,11.5
59,Marsa Matruh,EG,2022-04-20 18:54:10,31.3525,27.2453,61.0,63,0,11.5
60,Rikitea,PF,2022-04-20 18:54:10,-23.1203,-134.9692,78.42,71,2,19.06
61,Chimbote,PE,2022-04-20 18:52:21,-9.0853,-78.5783,72.52,70,32,9.86
62,Jamestown,US,2022-04-20 18:50:19,42.097,-79.2353,50.52,41,0,9.22
63,Yichang,CN,2022-04-20 18:54:10,30.7144,111.2847,58.98,90,0,3.78
64,Vyshneve,UA,2022-04-20 18:54:11,50.3891,30.3705,42.17,92,65,6.6
